IMPORTANTE,cod_universidad,des_universidad,anio,cod_pais_nacionalidad,des_pais_nacionalidad,lat_pais_nacionalidad,lon_pais_nacionalidad,cod_continente_nacionalidad,des_continente_nacionalidad,cod_agregacion_paises_nacionalidad,des_agregacion_paises_nacionalidad,cod_comunidad_residencia,des_comunidad_residencia,cod_provincia_residencia,des_provincia_residencia,cod_municipio_residencia,des_municipio_residencia,lat_municipio_residencia,lon_municipio_residencia,des_genero,anio_nacimiento,anio_incorporacion,ind_otra_unidad,cod_otra_unidad,des_otra_unidad,des_servicio_prestado,des_tipo_personal,des_cuerpo_escala_PAS,des_tipo_contrato,des_titulacion_exigida,des_dedicacion,num_horas_semanales_tiempo_parcial,des_situacion_administrativa,ind_cargo_remunerado,ind_imparte_docencia,num_trienios
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https://www.universidata.es/anonimizacion,010,Universidad-Complutense-de-Madrid,2020,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,13,Madrid,28,Madrid,28079,MADRID,40.41669,-3.700346,Mujer,1968,1981,false,,,,Funcionario-de-carrera,Subgrupo-C1,Personal-Funcionario-Personal-eventual,Personal-Funcionario-Personal-eventual,Dedicacion-a-Tiempo-Completo,,Servicio-Activo,false,false,5
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https://www.universidata.es/anonimizacion,010,Universidad-Complutense-de-Madrid,2020,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,13,Madrid,28,Madrid,28079,MADRID,40.41669,-3.700346,Mujer,1959,1998,false,,,,Funcionario-de-carrera,Subgrupo-C1,Personal-Funcionario-Personal-eventual,Personal-Funcionario-Personal-eventual,Dedicacion-a-Tiempo-Completo,,Servicio-Activo,false,false,4
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https://www.universidata.es/anonimizacion,010,Universidad-Complutense-de-Madrid,2020,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,13,Madrid,28,Madrid,28079,MADRID,40.41669,-3.700346,Mujer,1960,2006,false,,,,Funcionario-de-carrera,Subgrupo-C1,Personal-Funcionario-Personal-eventual,Personal-Funcionario-Personal-eventual,Dedicacion-a-Tiempo-Completo,,Excedencia,false,false,0
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https://www.universidata.es/anonimizacion,010,Universidad-Complutense-de-Madrid,2020,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,13,Madrid,28,Madrid,28092,MOSTOLES,40.32277,-3.865741,Mujer,1972,1989,false,,,,Funcionario-de-carrera,Subgrupo-C1,Personal-Funcionario-Personal-eventual,Personal-Funcionario-Personal-eventual,Dedicacion-a-Tiempo-Completo,,Servicio-Activo,false,false,8
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https://www.universidata.es/anonimizacion,010,Universidad-Complutense-de-Madrid,2020,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,,,,,,,,,Mujer,1957,2009,false,,,,Funcionario-de-carrera,Subgrupo-A1,Personal-Funcionario-Personal-eventual,Personal-Funcionario-Personal-eventual,Dedicacion-a-Tiempo-Completo,,Servicio-Activo,false,false,4
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https://www.universidata.es/anonimizacion,010,Universidad-Complutense-de-Madrid,2020,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,13,Madrid,28,Madrid,28115,POZUELO-DE-ALARCON,40.4352,-3.813062,Mujer,1965,2007,false,,,,Funcionario-de-carrera,Subgrupo-C2,Personal-Funcionario-Personal-eventual,Personal-Funcionario-Personal-eventual,Dedicacion-a-Tiempo-Completo,,Servicio-Activo,false,false,9
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https://www.universidata.es/anonimizacion,010,Universidad-Complutense-de-Madrid,2020,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,13,Madrid,28,Madrid,28079,MADRID,40.41669,-3.700346,Mujer,1959,2006,false,,,,Funcionario-de-carrera,Subgrupo-C1,Personal-Funcionario-Personal-eventual,Personal-Funcionario-Personal-eventual,Dedicacion-a-Tiempo-Completo,,Servicio-Activo,false,false,11
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https://www.universidata.es/anonimizacion,010,Universidad-Complutense-de-Madrid,2020,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,13,Madrid,28,Madrid,28082,MANZANARES-EL-REAL,40.72705,-3.864914,Mujer,1961,1986,false,,,,Funcionario-de-carrera,Subgrupo-A1,Personal-Funcionario-Personal-eventual,Personal-Funcionario-Personal-eventual,Dedicacion-a-Tiempo-Completo,,Servicio-Activo,false,false,4
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https://www.universidata.es/anonimizacion,010,Universidad-Complutense-de-Madrid,2020,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,13,Madrid,28,Madrid,28006,ALCOBENDAS,40.54754,-3.642091,Mujer,1960,2007,false,,,,Funcionario-de-carrera,Subgrupo-C1,Personal-Funcionario-Personal-eventual,Personal-Funcionario-Personal-eventual,Dedicacion-a-Tiempo-Completo,,Excedencia,false,false,4
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https://www.universidata.es/anonimizacion,010,Universidad-Complutense-de-Madrid,2020,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,13,Madrid,28,Madrid,28079,MADRID,40.41669,-3.700346,Mujer,1958,2006,false,,,,Funcionario-de-carrera,Subgrupo-C2,Personal-Funcionario-Personal-eventual,Personal-Funcionario-Personal-eventual,Dedicacion-a-Tiempo-Completo,,Servicio-Activo,false,false,5
